CODIGO,poblacion_estudio,nbs,umbral,moderada,indigente,marginal,nbs_porcentaje,umbral_porcentaje,moderada_porcentaje,marginal_porcentaje,indigente_porcentaje,pobre,pobre_porcentaje,no_pobre,no_pobre_porcentaje,año,DEPARTAMENTO,PROVINCIA,MUNICIPIO
010101,204231,63566,59238,51060,28061,2306,31.12455993458388,29.005390954360504,25.001101693670403,1.1291136017548755,13.73983381563034,81427,39.870049111055614,122804,60.129950888944386,2001,CHUQUISACA,OROPEZA,SUCRE
010101,251648,102411,81616,56260,10911,450,40.696131,32.432604,22.356625,0.178821,4.335818,67621,26.87126462360122,184027,73.12873537639878,2012,CHUQUISACA,OROPEZA,SUCRE
010102,9126,487,1311,6212,1116,0,5.336401490247644,14.365548980933596,68.0692526846373,0,12.22879684418146,7328,80.29804952881877,1798,19.701950471181235,2001,CHUQUISACA,OROPEZA,YOTALA
010102,8964,1197,2890,4289,580,8,13.353414,32.240071,47.846943,0.089246,6.470326,4877,54.40651494868362,4087,45.59348505131638,2012,CHUQUISACA,OROPEZA,YOTALA
010103,16791,4,118,1247,10358,5064,0.023822285748317552,0.7027574295753678,7.4265975820379975,30.15901375737002,61.687808945268294,16669,99.27342028467632,122,0.7265797153236804,2001,CHUQUISACA,OROPEZA,POROMA
010103,16962,144,544,8051,7728,495,0.848956,3.207169,47.464922,2.918288,45.560665,16274,95.94387454309633,688,4.056125456903667,2012,CHUQUISACA,OROPEZA,POROMA
010201,11146,201,433,1753,6481,2278,1.803337520186614,3.8848017225910643,15.727615287995695,20.437825228781627,58.14642024044501,10512,94.31186075722232,634,5.68813924277768,2001,CHUQUISACA,AZURDUY,AZURDUY
010201,10269,481,777,4252,4602,157,4.684,7.566462,41.406174,1.528873,44.81449,9011,87.74953744278898,1258,12.250462557211025,2012,CHUQUISACA,AZURDUY,AZURDUY
010202,13974,623,1203,7234,4789,125,4.45828,8.608845,51.767568,0.894518,34.270789,12148,86.93287533991699,1826,13.067124660083012,2012,CHUQUISACA,AZURDUY,TARVITA
010202,14879,24,282,2097,9926,2550,0.16130116271254788,1.8952886618724376,14.093689092008871,17.138248538208213,66.71147254519792,14573,97.94341017541501,306,2.0565898245849894,2001,CHUQUISACA,AZURDUY,TARVITA
010301,7212,260,723,3264,2965,0,3.6051026067665006,10.024958402662229,45.25790349417637,0,41.1120354963949,6229,86.36993899057127,983,13.63006100942873,2001,CHUQUISACA,ZUDAÑEZ,ZUDAÑEZ
010301,10888,802,2434,5965,1647,40,7.365907,22.354886,54.785084,0.367377,15.126745,7652,70.27920646583394,3236,29.720793534166056,2012,CHUQUISACA,ZUDAÑEZ,ZUDAÑEZ
010302,8832,64,156,811,5225,2576,0.7246376811594203,1.766304347826087,9.18251811594203,29.166666666666668,59.1598731884058,8612,97.50905797101449,220,2.490942028985515,2001,CHUQUISACA,ZUDAÑEZ,PRESTO
010302,11700,443,1194,5172,4551,340,3.786325,10.205128,44.205128,2.905983,38.897436,10063,86.00854700854701,1637,13.991452991452991,2012,CHUQUISACA,ZUDAÑEZ,PRESTO
010303,7771,70,529,2251,4903,18,0.9007849697593616,6.807360700038605,28.966670956118907,0.23163042079526447,63.09355295328787,7172,92.29185433020203,599,7.708145669797972,2001,CHUQUISACA,ZUDAÑEZ,MOJOCOYA
010303,7836,506,1333,4631,1346,20,6.457376,17.01123,59.09903,0.255232,17.177131,5997,76.53139356814701,1839,23.468606431852987,2012,CHUQUISACA,ZUDAÑEZ,MOJOCOYA
010304,7500,286,1792,3710,1628,84,3.813333,23.893333,49.466667,1.12,21.706667,5422,72.29333333333334,2078,27.706666666666667,2012,CHUQUISACA,ZUDAÑEZ,ICLA
010304,8612,3,86,2666,5483,374,0.034835113794705067,0.9986065954482117,30.956804458894567,4.342777519739898,63.66697631212263,8523,98.96655829075708,89,1.033441709242922,2001,CHUQUISACA,ZUDAÑEZ,ICLA
010401,12270,295,1309,5538,5128,0,2.404237978810106,10.668296658516708,45.13447432762836,0,41.79299103504482,10666,86.92746536267319,1604,13.072534637326811,2001,CHUQUISACA,TOMINA,PADILLA
010401,10013,1050,1854,5418,1679,12,10.486368,18.515929,54.109657,0.119844,16.768201,7109,70.99770298611804,2904,29.002297013881957,2012,CHUQUISACA,TOMINA,PADILLA
010402,8736,102,368,3568,4698,0,1.1675824175824177,4.212454212454213,40.84249084249084,0,53.777472527472526,8266,94.61996336996337,470,5.380036630036628,2001,CHUQUISACA,TOMINA,TOMINA
010402,8209,523,1531,5421,725,9,6.371056,18.650262,66.037276,0.109636,8.83177,6155,74.97868193446217,2054,25.021318065537823,2012,CHUQUISACA,TOMINA,TOMINA
010403,7035,147,484,1604,4330,470,2.0895522388059704,6.879886282871357,22.80028429282161,6.680881307746979,61.54939587775409,6404,91.03056147832267,631,8.969438521677333,2001,CHUQUISACA,TOMINA,SOPACHUY
010403,7088,436,1043,3898,1674,37,6.151242,14.715011,54.994357,0.522009,23.617381,5609,79.13374717832957,1479,20.86625282167043,2012,CHUQUISACA,TOMINA,SOPACHUY
